STATEFP20,COUNTYFP20,VTDST20,GEOID20,NAME20,GEOID,ADJPOP,TAWHITEALN,TABLACKCMB,TAAIANCMB,TAASIANCMB,TANHOPICMB,TAOTHERALN,TA2RACE,TAHISPANIC
32,001,000001,32001000001,CHURCHILL PRECINCT 01,7000000US32001000001,1743,1280,93,105,125,9,71,202,235
32,001,000002,32001000002,CHURCHILL PRECINCT 02,7000000US32001000002,2063,1513,142,123,93,28,92,208,266
32,001,000003,32001000003,CHURCHILL PRECINCT 03,7000000US32001000003,1185,823,68,74,102,9,57,130,195
32,001,000004,32001000004,CHURCHILL PRECINCT 04,7000000US32001000004,1768,1261,108,119,104,29,109,215,253
32,001,000005,32001000005,CHURCHILL PRECINCT 05,7000000US32001000005,1477,977,67,125,116,15,95,200,265
32,001,000006,32001000006,CHURCHILL PRECINCT 06,7000000US32001000006,1102,783,47,76,89,14,53,133,148
32,001,000007,32001000007,CHURCHILL PRECINCT 07,7000000US32001000007,1291,1026,12,67,49,4,75,124,175
32,001,000008,32001000008,CHURCHILL PRECINCT 08,7000000US32001000008,532,446,5,32,8,2,21,48,49
32,001,000009,32001000009,CHURCHILL PRECINCT 09,7000000US32001000009,853,652,18,112,21,15,25,75,83
32,001,000010,32001000010,CHURCHILL PRECINCT 10,7000000US32001000010,1538,1200,15,84,75,3,70,205,208
32,001,000011,32001000011,CHURCHILL PRECINCT 11,7000000US32001000011,1538,1226,19,83,48,17,85,150,186
32,001,000012,32001000012,CHURCHILL PRECINCT 12,7000000US32001000012,866,616,89,32,34,8,58,92,126
32,001,000013,32001000013,CHURCHILL PRECINCT 13,7000000US32001000013,778,617,10,26,20,8,41,100,93
32,001,000014,32001000014,CHURCHILL PRECINCT 14,7000000US32001000014,975,792,14,54,18,0,68,85,120
32,001,000015,32001000015,CHURCHILL PRECINCT 15,7000000US32001000015,1091,871,19,51,37,9,61,118,159
32,001,000016,32001000016,CHURCHILL PRECINCT 16,7000000US32001000016,1165,448,14,606,36,15,31,141,119
32,001,000017,32001000017,CHURCHILL PRECINCT 17,7000000US32001000017,2066,1560,29,147,60,11,178,223,326
32,001,000018,32001000018,CHURCHILL PRECINCT 18,7000000US32001000018,2077,1550,42,118,74,6,209,241,352
32,001,000019,32001000019,CHURCHILL PRECINCT 19,7000000US32001000019,1100,861,27,71,40,5,42,142,128
32,001,007-01,32001007-01,CHURCHILL PRECINCT 07-01,7000000US32001007-01,12,7,0,0,5,0,0,0,1
32,001,008-01,32001008-01,CHURCHILL PRECINCT 08-01,7000000US32001008-01,206,126,0,15,5,1,39,35,68
32,001,008-02,32001008-02,CHURCHILL PRECINCT 08-02,7000000US32001008-02,70,43,3,11,1,0,10,11,13
32,001,008-03,32001008-03,CHURCHILL PRECINCT 08-03,7000000US32001008-03,0,0,0,0,0,0,0,0,0
32,001,012-01,32001012-01,CHURCHILL PRECINCT 12-01,7000000US32001012-01,10,5,0,4,0,0,1,2,3
32,001,012-02,32001012-02,CHURCHILL PRECINCT 12-02,7000000US32001012-02,0,0,0,0,0,0,0,0,0
32,001,012-03,32001012-03,CHURCHILL PRECINCT 12-03,7000000US32001012-03,3,0,1,0,0,0,0,2,2
32,001,015-01,32001015-01,CHURCHILL PRECINCT 15-01,7000000US32001015-01,6,3,1,1,1,0,1,2,2
32,001,015-02,32001015-02,CHURCHILL PRECINCT 15-02,7000000US32001015-02,3,3,0,0,0,0,0,0,0
32,001,015-03,32001015-03,CHURCHILL PRECINCT 15-03,7000000US32001015-03,18,11,2,0,4,0,3,4,2
32,001,015-04,32001015-04,CHURCHILL PRECINCT 15-04,7000000US32001015-04,2,1,0,0,0,0,0,1,1
32,001,015-05,32001015-05,CHURCHILL PRECINCT 15-05,7000000US32001015-05,9,2,2,1,2,0,1,4,4
32,001,015-06,32001015-06,CHURCHILL PRECINCT 15-06,7000000US32001015-06,4,2,0,0,0,0,2,0,3
32,001,015-07,32001015-07,CHURCHILL PRECINCT 15-07,7000000US32001015-07,0,0,0,0,0,0,0,0,0
32,001,015-08,32001015-08,CHURCHILL PRECINCT 15-08,7000000US32001015-08,9,7,0,1,0,0,1,0,0
32,001,015-09,32001015-09,CHURCHILL PRECINCT 15-09,7000000US32001015-09,5,5,0,0,0,0,0,0,1
32,001,015-10,32001015-10,CHURCHILL PRECINCT 15-10,7000000US32001015-10,0,0,0,0,0,0,0,0,0
32,003,001038,32003001038,1038,7000000US32003001038,622,435,38,4,108,1,26,40,36
32,003,001039,32003001039,1039,7000000US32003001039,1314,983,58,13,187,11,21,91,67
32,003,001063,32003001063,1063,7000000US32003001063,2072,1227,131,43,293,46,176,356,493
32,003,001067,32003001067,1067,7000000US32003001067,269,224,10,12,8,4,7,23,22
32,003,001072,32003001072,1072,7000000US32003001072,504,399,35,16,15,9,15,55,60
32,003,001074,32003001074,1074,7000000US32003001074,4159,3018,301,136,178,53,286,433,726
32,003,001137,32003001137,1137,7000000US32003001137,2114,1064,186,48,411,55,197,344,488
32,003,001302,32003001302,1302,7000000US32003001302,4896,1972,694,81,1575,113,345,556,804
32,003,001303,32003001303,1303,7000000US32003001303,3197,1067,519,59,1074,66,263,413,609
32,003,001304,32003001304,1304,7000000US32003001304,3726,1639,511,66,981,81,314,433,704
32,003,001307,32003001307,1307,7000000US32003001307,3602,1542,254,51,1434,65,160,396,510
32,003,001309,32003001309,1309,7000000US32003001309,4,0,1,0,1,0,2,1,3
32,003,001318,32003001318,1318,7000000US32003001318,3629,1112,624,60,1263,129,335,424,733
32,003,001327,32003001327,1327,7000000US32003001327,4309,1435,884,110,1211,126,361,619,929
32,003,001328,32003001328,1328,7000000US32003001328,3572,1568,429,91,899,161,310,594,840
32,003,001330,32003001330,1330,7000000US32003001330,2822,1575,325,112,351,84,191,443,592
32,003,001331,32003001331,1331,7000000US32003001331,3551,1461,689,119,496,164,439,575,1015
32,003,001332,32003001332,1332,7000000US32003001332,1172,615,160,24,204,26,101,135,220
32,003,001333,32003001333,1333,7000000US32003001333,1963,1061,190,69,376,79,127,243,364
32,003,001334,32003001334,1334,7000000US32003001334,2796,1284,239,54,729,102,237,408,614
32,003,001335,32003001335,1335,7000000US32003001335,2400,1336,198,53,442,95,159,365,482
32,003,001336,32003001336,1336,7000000US32003001336,2553,1234,531,46,411,164,135,322,423
32,003,001337,32003001337,1337,7000000US32003001337,3161,1596,459,75,599,127,242,435,661
32,003,001340,32003001340,1340,7000000US32003001340,4633,1900,703,108,1022,184,526,655,1163
32,003,001341,32003001341,1341,7000000US32003001341,3002,1585,310,84,486,154,279,423,723
32,003,001342,32003001342,1342,7000000US32003001342,2237,1058,202,68,478,96,270,340,612
32,003,001343,32003001343,1343,7000000US32003001343,1555,888,70,57,277,73,112,260,358
32,003,001344,32003001344,1344,7000000US32003001344,1293,586,148,22,349,43,81,176,248
32,003,001345,32003001345,1345,7000000US32003001345,1738,798,222,47,360,65,186,253,386
32,003,001346,32003001346,1346,7000000US32003001346,2026,1181,107,41,376,76,150,249,346
32,003,001348,32003001348,1348,7000000US32003001348,3359,1248,467,83,978,189,331,513,770
32,003,001349,32003001349,1349,7000000US32003001349,3382,1380,470,93,845,221,326,564,773
32,003,001351,32003001351,1351,7000000US32003001351,2821,1152,441,105,581,169,303,421,740
32,003,001352,32003001352,1352,7000000US32003001352,2661,1237,303,73,615,79,214,377,669
32,003,001353,32003001353,1353,7000000US32003001353,5262,2247,818,182,969,275,559,841,1341
32,003,001354,32003001354,1354,7000000US32003001354,1837,784,251,63,417,60,181,301,479
32,003,001356,32003001356,1356,7000000US32003001356,3696,1464,466,89,1104,179,291,580,760
32,003,001361,32003001361,1361,7000000US32003001361,1,0,1,0,0,0,0,0,0
32,003,001363,32003001363,1363,7000000US32003001363,0,0,0,0,0,0,0,0,0
32,003,001365,32003001365,1365,7000000US32003001365,14,5,2,0,7,0,0,4,1
32,003,001367,32003001367,1367,7000000US32003001367,4091,1780,498,68,927,205,428,618,1026
32,003,001368,32003001368,1368,7000000US32003001368,4246,1923,691,188,713,224,445,779,1235
32,003,001371,32003001371,1371,7000000US32003001371,6,4,2,0,0,0,0,2,0
32,003,001374,32003001374,1374,7000000US32003001374,4,3,0,0,0,0,1,0,4
32,003,001375,32003001375,1375,7000000US32003001375,6,0,2,0,4,0,0,0,2
32,003,001376,32003001376,1376,7000000US32003001376,5,3,2,0,0,0,0,0,0
32,003,001377,32003001377,1377,7000000US32003001377,6,6,0,0,0,0,0,0,0
32,003,001378,32003001378,1378,7000000US32003001378,0,0,0,0,0,0,0,0,0
32,003,001379,32003001379,1379,7000000US32003001379,0,0,0,0,0,0,0,0,0
32,003,001380,32003001380,1380,7000000US32003001380,5,4,0,0,1,0,0,0,2
32,003,001381,32003001381,1381,7000000US32003001381,2,0,0,0,0,0,2,0,2
32,003,001382,32003001382,1382,7000000US32003001382,0,0,0,0,0,0,0,0,0
32,003,001384,32003001384,1384,7000000US32003001384,6053,3493,458,111,1376,100,246,909,1028
32,003,001385,32003001385,1385,7000000US32003001385,3,3,0,0,0,0,0,0,0
32,003,001386,32003001386,1386,7000000US32003001386,8,6,1,0,0,0,1,0,1
32,003,001387,32003001387,1387,7000000US32003001387,0,0,0,0,0,0,0,0,0
32,003,001389,32003001389,1389,7000000US32003001389,2110,927,204,48,667,97,99,355,371
32,003,001390,32003001390,1390,7000000US32003001390,5753,3119,750,132,1077,125,312,791,941
32,003,001391,32003001391,1391,7000000US32003001391,3655,1782,455,79,826,78,299,473,651
32,003,001394,32003001394,1394,7000000US32003001394,2060,1349,128,26,373,43,66,276,243
32,003,001395,32003001395,1395,7000000US32003001395,2082,1319,113,34,412,39,70,276,269
32,003,001396,32003001396,1396,7000000US32003001396,2009,1115,222,46,409,36,95,268,300
32,003,001410,32003001410,1410,7000000US32003001410,3247,1982,297,68,505,80,163,491,578
32,003,001411,32003001411,1411,7000000US32003001411,2241,1321,213,53,369,29,136,298,418
32,003,001509,32003001509,1509,7000000US32003001509,2011,1312,151,37,353,45,44,254,236
32,003,001510,32003001510,1510,7000000US32003001510,1400,1026,40,15,241,14,10,130,94
32,003,001511,32003001511,1511,7000000US32003001511,1825,1269,67,35,300,27,43,225,242
32,003,001513,32003001513,1513,7000000US32003001513,2923,1949,188,58,507,48,92,329,290
32,003,001514,32003001514,1514,7000000US32003001514,2716,1846,149,31,466,27,97,324,334
32,003,001517,32003001517,1517,7000000US32003001517,890,755,21,7,59,8,15,61,47
32,003,001518,32003001518,1518,7000000US32003001518,1921,1421,49,23,320,14,34,145,150
32,003,001519,32003001519,1519,7000000US32003001519,768,607,18,8,108,1,8,49,44
32,003,001520,32003001520,1520,7000000US32003001520,835,679,43,8,67,5,9,43,41
32,003,001521,32003001521,1521,7000000US32003001521,1156,954,27,11,127,11,11,47,31
32,003,001525,32003001525,1525,7000000US32003001525,1782,1344,66,16,283,8,24,77,83
32,003,001528,32003001528,1528,7000000US32003001528,3189,2056,225,56,545,65,124,416,434
32,003,001533,32003001533,1533,7000000US32003001533,9,8,0,0,1,0,0,0,0
32,003,001543,32003001543,1543,7000000US32003001543,0,0,0,0,0,0,0,0,0
32,003,001550,32003001550,1550,7000000US32003001550,1380,937,54,40,190,17,60,196,185
32,003,001552,32003001552,1552,7000000US32003001552,1478,920,129,30,249,35,54,242,229
32,003,001553,32003001553,1553,7000000US32003001553,0,0,0,0,0,0,0,0,0
32,003,001601,32003001601,1601,7000000US32003001601,2123,910,395,43,429,49,181,283,448
32,003,001602,32003001602,1602,7000000US32003001602,2218,895,450,56,440,38,224,294,506
32,003,001603,32003001603,1603,7000000US32003001603,1914,787,369,47,478,26,122,244,340
32,003,001604,32003001604,1604,7000000US32003001604,2271,929,416,58,560,51,208,276,442
32,003,001605,32003001605,1605,7000000US32003001605,2521,892,393,72,702,46,274,312,603
32,003,001606,32003001606,1606,7000000US32003001606,907,548,55,19,199,20,35,137,139
32,003,001607,32003001607,1607,7000000US32003001607,553,207,40,7,210,10,34,87,103
32,003,001608,32003001608,1608,7000000US32003001608,2664,1712,142,40,571,39,63,325,284
32,003,001609,32003001609,1609,7000000US32003001609,3991,1446,478,84,1488,119,257,470,674
32,003,001611,32003001611,1611,7000000US32003001611,3380,1250,735,93,791,67,334,376,702
32,003,001612,32003001612,1612,7000000US32003001612,3714,1272,406,72,1604,87,167,420,459
32,003,001613,32003001613,1613,7000000US32003001613,1795,721,145,55,465,34,247,248,534
32,003,001614,32003001614,1614,7000000US32003001614,1860,821,213,67,459,26,180,258,425
32,003,001615,32003001615,1615,7000000US32003001615,2176,882,194,77,313,39,421,396,815
32,003,001616,32003001616,1616,7000000US32003001616,1907,754,276,59,458,53,214,304,472
32,003,001617,32003001617,1617,7000000US32003001617,3053,1096,499,91,939,67,274,372,658
32,003,001618,32003001618,1618,7000000US32003001618,3108,1004,447,63,1210,94,198,421,531
32,003,001619,32003001619,1619,7000000US32003001619,3883,1250,569,80,1483,119,261,450,661
32,003,001621,32003001621,1621,7000000US32003001621,2389,902,225,112,231,49,533,552,1127
32,003,001623,32003001623,1623,7000000US32003001623,1218,532,86,41,170,36,256,198,478
32,003,001624,32003001624,1624,7000000US32003001624,1157,544,109,29,197,13,160,186,402
32,003,001625,32003001625,1625,7000000US32003001625,2128,938,342,31,416,27,212,281,461
32,003,001631,32003001631,1631,7000000US32003001631,2817,1154,189,97,329,65,764,421,1270
32,003,001632,32003001632,1632,7000000US32003001632,1898,691,166,57,203,61,538,321,901
32,003,001633,32003001633,1633,7000000US32003001633,3857,1342,1150,82,505,91,567,396,958
32,003,001634,32003001634,1634,7000000US32003001634,3442,1037,805,84,553,70,676,509,1249
32,003,001635,32003001635,1635,7000000US32003001635,2694,699,897,59,557,31,339,299,614
32,003,001641,32003001641,1641,7000000US32003001641,2870,964,473,97,299,30,808,333,1231
32,003,001642,32003001642,1642,7000000US32003001642,1916,580,579,63,344,42,245,250,481
32,003,001643,32003001643,1643,7000000US32003001643,870,555,47,22,171,13,33,99,80
32,003,001644,32003001644,1644,7000000US32003001644,40,4,7,10,9,7,0,25,13
32,003,001645,32003001645,1645,7000000US32003001645,1406,786,423,52,92,43,137,162,274
32,003,001651,32003001651,1651,7000000US32003001651,931,577,55,17,150,23,53,162,150
32,003,001652,32003001652,1652,7000000US32003001652,4386,1397,1203,142,1133,85,338,511,801
32,003,001653,32003001653,1653,7000000US32003001653,3969,1294,1282,86,705,92,346,466,805
32,003,001655,32003001655,1655,7000000US32003001655,4074,1260,1394,73,649,86,474,423,851
32,003,001661,32003001661,1661,7000000US32003001661,3299,1304,769,90,644,63,318,427,731
32,003,001662,32003001662,1662,7000000US32003001662,2601,1028,387,79,438,56,468,368,890
32,003,001664,32003001664,1664,7000000US32003001664,1613,821,176,44,411,28,94,156,211
32,003,001665,32003001665,1665,7000000US32003001665,0,0,0,0,0,0,0,0,0
32,003,001668,32003001668,1668,7000000US32003001668,4744,2506,377,127,1188,171,255,659,815
32,003,001669,32003001669,1669,7000000US32003001669,1076,521,105,20,287,19,75,157,204
32,003,001670,32003001670,1670,7000000US32003001670,2795,1298,234,64,640,218,258,462,625
32,003,001671,32003001671,1671,7000000US32003001671,34,25,0,1,4,3,0,6,3
32,003,001672,32003001672,1672,7000000US32003001672,2348,1370,208,61,388,56,151,349,444
32,003,001673,32003001673,1673,7000000US32003001673,0,0,0,0,0,0,0,0,0
32,003,001674,32003001674,1674,7000000US32003001674,1915,1434,66,17,263,17,37,182,178
32,003,001675,32003001675,1675,7000000US32003001675,2066,1423,88,25,309,28,75,243,284
32,003,001676,32003001676,1676,7000000US32003001676,899,602,42,22,102,13,78,101,197
32,003,001677,32003001677,1677,7000000US32003001677,1786,995,146,32,257,58,138,309,395
32,003,001678,32003001678,1678,7000000US32003001678,1580,1036,86,40,155,27,138,215,332
32,003,001679,32003001679,1679,7000000US32003001679,1925,1137,102,53,295,42,169,302,443
32,003,001680,32003001680,1680,7000000US32003001680,3047,1529,378,97,518,102,291,446,641
32,003,001681,32003001681,1681,7000000US32003001681,73,49,4,0,19,4,2,9,8
32,003,001682,32003001682,1682,7000000US32003001682,2510,1297,299,46,280,31,332,352,751
32,003,001683,32003001683,1683,7000000US32003001683,3683,1677,521,148,527,143,413,639,1055
32,003,001684,32003001684,1684,7000000US32003001684,653,395,36,14,132,16,40,68,87
32,003,001685,32003001685,1685,7000000US32003001685,24,0,7,4,1,5,3,9,8
32,003,001686,32003001686,1686,7000000US32003001686,1545,996,78,26,252,31,86,203,260
32,003,001687,32003001687,1687,7000000US32003001687,2306,1185,221,71,380,74,276,348,592
32,003,001688,32003001688,1688,7000000US32003001688,1840,1037,168,40,308,35,177,232,392
32,003,001689,32003001689,1689,7000000US32003001689,1774,1061,218,42,242,39,118,187,296
32,003,001691,32003001691,1691,7000000US32003001691,0,0,0,0,0,0,0,0,0
32,003,001692,32003001692,1692,7000000US32003001692,367,229,40,11,58,8,11,47,53
32,003,001693,32003001693,1693,7000000US32003001693,1183,723,67,38,257,36,69,138,178
32,003,001694,32003001694,1694,7000000US32003001694,0,0,0,0,0,0,0,0,0
32,003,001695,32003001695,1695,7000000US32003001695,3099,1089,355,54,1309,66,180,315,432
32,003,001702,32003001702,1702,7000000US32003001702,2973,1058,593,70,859,80,222,399,549
32,003,001703,32003001703,1703,7000000US32003001703,3933,1165,876,95,1290,148,347,479,762
32,003,001704,32003001704,1704,7000000US32003001704,2221,846,301,47,653,53,206,253,482
32,003,001711,32003001711,1711,7000000US32003001711,337,171,67,7,42,9,17,47,56
32,003,001712,32003001712,1712,7000000US32003001712,3847,2525,267,62,633,56,129,534,522
32,003,001713,32003001713,1713,7000000US32003001713,2562,1605,179,38,467,23,106,349,400
32,003,001715,32003001715,1715,7000000US32003001715,1086,864,42,11,122,11,15,70,53
32,003,001717,32003001717,1717,7000000US32003001717,1301,959,54,9,222,12,17,58,58
32,003,001718,32003001718,1718,7000000US32003001718,1646,1254,57,22,260,10,25,72,61
32,003,001719,32003001719,1719,7000000US32003001719,1238,895,64,13,231,8,7,62,41
32,003,001720,32003001720,1720,7000000US32003001720,1171,893,37,22,137,15,25,98,96
32,003,001721,32003001721,1721,7000000US32003001721,1303,1012,52,11,175,4,21,62,53
32,003,001722,32003001722,1722,7000000US32003001722,823,644,24,9,126,7,8,29,25
32,003,001727,32003001727,1727,7000000US32003001727,3399,2340,210,88,461,46,117,411,473
32,003,001732,32003001732,1732,7000000US32003001732,678,400,192,9,104,6,39,83,146
32,003,001750,32003001750,1750,7000000US32003001750,2534,1851,201,103,104,32,126,310,419
32,003,001751,32003001751,1751,7000000US32003001751,1979,1570,59,69,92,18,88,192,301
32,003,001753,32003001753,1753,7000000US32003001753,261,223,5,13,11,2,10,17,16
32,003,001903,32003001903,1903,7000000US32003001903,0,0,0,0,0,0,0,0,0
32,003,001905,32003001905,1905,7000000US32003001905,0,0,0,0,0,0,0,0,0
32,003,001906,32003001906,1906,7000000US32003001906,0,0,0,0,0,0,0,0,0
32,003,001907,32003001907,1907,7000000US32003001907,3,3,0,0,0,0,0,0,0
32,003,001908,32003001908,1908,7000000US32003001908,0,0,0,0,0,0,0,0,0
32,003,001909,32003001909,1909,7000000US32003001909,0,0,0,0,0,0,0,0,0
32,003,001912,32003001912,1912,7000000US32003001912,0,0,0,0,0,0,0,0,0
32,003,001915,32003001915,1915,7000000US32003001915,0,0,0,0,0,0,0,0,0
32,003,001917,32003001917,1917,7000000US32003001917,3,3,0,0,0,0,0,0,0
32,003,001918,32003001918,1918,7000000US32003001918,0,0,0,0,0,0,0,0,0
32,003,001919,32003001919,1919,7000000US32003001919,0,0,0,0,0,0,0,0,0
32,003,001920,32003001920,1920,7000000US32003001920,0,0,0,0,0,0,0,0,0
32,003,001921,32003001921,1921,7000000US32003001921,0,0,0,0,0,0,0,0,0
32,003,001922,32003001922,1922,7000000US32003001922,0,0,0,0,0,0,0,0,0
32,003,001923,32003001923,1923,7000000US32003001923,0,0,0,0,0,0,0,0,0
32,003,001924,32003001924,1924,7000000US32003001924,0,0,0,0,0,0,0,0,0
32,003,001925,32003001925,1925,7000000US32003001925,0,0,0,0,0,0,0,0,0
32,003,001926,32003001926,1926,7000000US32003001926,0,0,0,0,0,0,0,0,0
32,003,001928,32003001928,1928,7000000US32003001928,0,0,0,0,0,0,0,0,0
32,003,001929,32003001929,1929,7000000US32003001929,0,0,0,0,0,0,0,0,0
32,003,001930,32003001930,1930,7000000US32003001930,0,0,0,0,0,0,0,0,0
32,003,001935,32003001935,1935,7000000US32003001935,0,0,0,0,0,0,0,0,0
32,003,001940,32003001940,1940,7000000US32003001940,0,0,0,0,0,0,0,0,0
32,003,001943,32003001943,1943,7000000US32003001943,0,0,0,0,0,0,0,0,0
32,003,001946,32003001946,1946,7000000US32003001946,0,0,0,0,0,0,0,0,0
32,003,001959,32003001959,1959,7000000US32003001959,0,0,0,0,0,0,0,0,0
32,003,001960,32003001960,1960,7000000US32003001960,0,0,0,0,0,0,0,0,0
32,003,001964,32003001964,1964,7000000US32003001964,0,0,0,0,0,0,0,0,0
32,003,002008,32003002008,2008,7000000US32003002008,2242,1152,235,82,163,47,353,430,762
32,003,002037,32003002037,2037,7000000US32003002037,2073,1216,275,75,158,30,221,291,489
32,003,002044,32003002044,2044,7000000US32003002044,2756,1571,349,84,185,31,347,352,714
32,003,002078,32003002078,2078,7000000US32003002078,19,18,0,0,0,0,0,1,0
32,003,002126,32003002126,2126,7000000US32003002126,1759,891,87,64,54,19,476,265,930
32,003,002352,32003002352,2352,7000000US32003002352,1433,959,104,52,76,19,124,193,293
32,003,002353,32003002353,2353,7000000US32003002353,1451,1084,128,45,89,16,42,160,159
32,003,002354,32003002354,2354,7000000US32003002354,1198,853,109,27,71,13,67,130,195
32,003,002356,32003002356,2356,7000000US32003002356,0,0,0,0,0,0,0,0,0
32,003,002360,32003002360,2360,7000000US32003002360,3938,1193,1288,71,323,55,769,515,1391
32,003,002366,32003002366,2366,7000000US32003002366,2735,1168,513,87,174,59,554,410,904
32,003,002371,32003002371,2371,7000000US32003002371,2303,979,381,75,164,81,405,465,893
32,003,002372,32003002372,2372,7000000US32003002372,2793,1106,653,96,264,72,431,402,923
32,003,002373,32003002373,2373,7000000US32003002373,1535,704,278,53,151,29,180,286,487
32,003,002380,32003002380,2380,7000000US32003002380,2529,915,498,66,205,49,587,421,1056
32,003,002381,32003002381,2381,7000000US32003002381,2950,978,764,88,263,53,565,501,1054
32,003,002382,32003002382,2382,7000000US32003002382,3640,1307,860,89,312,72,641,628,1427
32,003,002383,32003002383,2383,7000000US32003002383,3436,1250,659,128,318,86,682,638,1361
32,003,002384,32003002384,2384,7000000US32003002384,3752,1642,734,77,503,126,481,591,1058
32,003,002385,32003002385,2385,7000000US32003002385,2144,896,484,51,303,51,246,335,556
32,003,002386,32003002386,2386,7000000US32003002386,3051,1201,575,117,351,110,478,561,1025
32,003,002387,32003002387,2387,7000000US32003002387,5070,1785,1576,134,717,155,515,804,1248
32,003,002390,32003002390,2390,7000000US32003002390,2775,1075,570,76,257,66,513,487,1044
32,003,002391,32003002391,2391,7000000US32003002391,1390,634,275,47,116,24,228,216,403
32,003,002392,32003002392,2392,7000000US32003002392,2047,827,389,80,182,53,412,365,795
32,003,002393,32003002393,2393,7000000US32003002393,3358,1290,755,106,289,80,529,615,1249
32,003,002394,32003002394,2394,7000000US32003002394,4257,1270,1149,125,702,93,662,754,1455
32,003,002399,32003002399,2399,7000000US32003002399,4649,1707,1168,148,930,97,436,703,1101
32,003,002400,32003002400,2400,7000000US32003002400,5468,1474,1577,151,664,108,993,972,2133
32,003,002401,32003002401,2401,7000000US32003002401,14,0,2,1,2,0,7,4,10
32,003,002405,32003002405,2405,7000000US32003002405,10,4,1,0,0,0,0,5,9
32,003,002406,32003002406,2406,7000000US32003002406,5,2,1,1,0,1,0,3,2
32,003,002407,32003002407,2407,7000000US32003002407,16,10,3,0,0,0,2,3,5
32,003,002408,32003002408,2408,7000000US32003002408,6,0,2,4,1,0,1,4,1
32,003,002409,32003002409,2409,7000000US32003002409,4225,1490,1022,132,535,125,663,678,1399
32,003,002417,32003002417,2417,7000000US32003002417,2257,1080,742,84,159,58,129,281,387
32,003,002430,32003002430,2430,7000000US32003002430,4550,1239,886,117,163,36,1502,830,2581
32,003,002436,32003002436,2436,7000000US32003002436,8,0,3,0,0,0,0,3,0
32,003,002440,32003002440,2440,7000000US32003002440,1819,1395,144,30,156,23,25,105,102
32,003,002444,32003002444,2444,7000000US32003002444,579,243,44,27,48,3,162,90,273
32,003,002445,32003002445,2445,7000000US32003002445,0,0,0,0,0,0,0,0,0
32,003,002446,32003002446,2446,7000000US32003002446,3933,1246,1327,119,419,107,558,666,1142
32,003,002447,32003002447,2447,7000000US32003002447,121,47,45,9,14,7,7,23,28
32,003,002449,32003002449,2449,7000000US32003002449,3359,1423,776,75,634,90,236,526,700
32,003,002456,32003002456,2456,7000000US32003002456,3565,1280,1165,116,341,67,383,638,1030
32,003,002457,32003002457,2457,7000000US32003002457,4262,2341,626,78,640,143,253,669,740
32,003,002458,32003002458,2458,7000000US32003002458,5,0,1,2,1,0,0,4,3
32,003,002463,32003002463,2463,7000000US32003002463,5454,1648,1898,129,571,104,807,840,1622
32,003,002464,32003002464,2464,7000000US32003002464,4003,1655,905,106,642,123,396,571,975
32,003,002465,32003002465,2465,7000000US32003002465,2922,1953,69,80,79,22,511,332,896
32,003,002466,32003002466,2466,7000000US32003002466,2649,2216,70,57,80,25,121,182,298
32,003,002468,32003002468,2468,7000000US32003002468,24,17,0,0,2,0,0,5,11
32,003,002469,32003002469,2469,7000000US32003002469,967,632,19,57,19,3,167,122,314
32,003,002473,32003002473,2473,7000000US32003002473,919,802,11,11,20,7,50,50,83
32,003,002476,32003002476,2476,7000000US32003002476,2350,2056,27,53,41,21,83,173,208
32,003,002477,32003002477,2477,7000000US32003002477,1251,1092,16,27,35,6,26,87,104
32,003,002478,32003002478,2478,7000000US32003002478,12,5,2,0,0,1,4,2,7
32,003,002479,32003002479,2479,7000000US32003002479,4446,1998,1113,127,593,106,352,714,1029
32,003,002480,32003002480,2480,7000000US32003002480,3074,1384,712,80,459,65,254,493,669
32,003,002481,32003002481,2481,7000000US32003002481,4770,1138,1856,142,486,109,736,825,1566
32,003,002483,32003002483,2483,7000000US32003002483,5077,1429,1760,120,607,139,741,796,1547
32,003,002484,32003002484,2484,7000000US32003002484,2745,998,618,68,579,113,255,495,632
32,003,002486,32003002486,2486,7000000US32003002486,0,0,0,0,0,0,0,0,0
32,003,002487,32003002487,2487,7000000US32003002487,0,0,0,0,0,0,0,0,0
32,003,002488,32003002488,2488,7000000US32003002488,0,0,0,0,0,0,0,0,0
32,003,002489,32003002489,2489,7000000US32003002489,0,0,0,0,0,0,0,0,0
32,003,002500,32003002500,2500,7000000US32003002500,1517,1157,143,17,144,16,8,83,67
32,003,002501,32003002501,2501,7000000US32003002501,703,606,896,20,57,1,445,2,446
32,003,002503,32003002503,2503,7000000US32003002503,38,32,0,4,0,0,2,2,6
32,003,002600,32003002600,2600,7000000US32003002600,2502,1492,395,85,280,48,118,329,407
32,003,002601,32003002601,2601,7000000US32003002601,45,37,1,1,4,1,2,5,7
32,003,002602,32003002602,2602,7000000US32003002602,250,201,15,2,6,4,11,23,31
32,003,002603,32003002603,2603,7000000US32003002603,2477,1656,314,70,215,35,92,334,375
32,003,002604,32003002604,2604,7000000US32003002604,2407,1464,338,88,218,41,171,355,529
32,003,002605,32003002605,2605,7000000US32003002605,1964,1237,211,66,245,27,103,284,348
32,003,002606,32003002606,2606,7000000US32003002606,2147,928,349,70,119,36,490,313,889
32,003,002607,32003002607,2607,7000000US32003002607,2834,994,680,91,410,69,488,379,907
32,003,002608,32003002608,2608,7000000US32003002608,0,0,0,0,0,0,0,0,0
